title,company,location,source,url,skills,experience,requirements,responsibilities,salary,remote,scraped_at
AI Engineer,Distyl,,LinkedIn,https://uk.linkedin.com/jobs/view/ai-engineer-at-distyl-4385939295?position=1&pageNum=0&refId=2dQXvtV%2Fak5ONYvibAO%2ByA%3D%3D&trackingId=EOzyTMZ5db%2BocICBmc66AA%3D%3D,,,,,Not specified,Unknown,2026-06-13T18:42:33.139398
AI Engineer (London),Edra,,LinkedIn,https://uk.linkedin.com/jobs/view/ai-engineer-london-at-edra-4385059123?position=2&pageNum=0&refId=2dQXvtV%2Fak5ONYvibAO%2ByA%3D%3D&trackingId=IoKagsEMw40TNVbfgxI5sw%3D%3D,,,,,Not specified,Unknown,2026-06-13T18:42:33.139422
"Agentic AI Engineer, AI Automation",Mintel,,LinkedIn,https://uk.linkedin.com/jobs/view/agentic-ai-engineer-ai-automation-at-mintel-4419867886?position=8&pageNum=0&refId=2dQXvtV%2Fak5ONYvibAO%2ByA%3D%3D&trackingId=NJdGPY7otmWYDop2GPyDUg%3D%3D,,,,,Not specified,Unknown,2026-06-13T18:42:33.139428
Agentic AI Engineer (GenAI),Play'n GO,,LinkedIn,https://uk.linkedin.com/jobs/view/agentic-ai-engineer-genai-at-play-n-go-4412127813?position=10&pageNum=0&refId=2dQXvtV%2Fak5ONYvibAO%2ByA%3D%3D&trackingId=ksDyO573omGyfpSG09j2Eg%3D%3D,,,,,Not specified,Unknown,2026-06-13T18:42:33.139431
GenAI Engineer,Clarity,,LinkedIn,https://uk.linkedin.com/jobs/view/genai-engineer-at-clarity-4334273447?position=11&pageNum=0&refId=2dQXvtV%2Fak5ONYvibAO%2ByA%3D%3D&trackingId=IsJaJmDMv042YRlOiW%2Bn0g%3D%3D,,,,,Not specified,Unknown,2026-06-13T18:42:33.139435
Artificial Intelligence Engineer,Paradino,,LinkedIn,https://au.linkedin.com/jobs/view/artificial-intelligence-engineer-at-paradino-4417802152?position=12&pageNum=0&refId=2dQXvtV%2Fak5ONYvibAO%2ByA%3D%3D&trackingId=eqKx784UH7QTm2db84bIDA%3D%3D,,,,,Not specified,Unknown,2026-06-13T18:42:33.139437
"Software Engineer, Agents",Mirage,,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-agents-at-mirage-4427643080?position=14&pageNum=0&refId=2dQXvtV%2Fak5ONYvibAO%2ByA%3D%3D&trackingId=qIcJR2gTASji6QSBo2V2aA%3D%3D,,,,,Not specified,Unknown,2026-06-13T18:42:33.139440
Agent Engineer,Arcade,,LinkedIn,https://www.linkedin.com/jobs/view/agent-engineer-at-arcade-4410512289?position=15&pageNum=0&refId=2dQXvtV%2Fak5ONYvibAO%2ByA%3D%3D&trackingId=kEdJ7lgcdbyUs%2BaaDqxplg%3D%3D,,,,,Not specified,Unknown,2026-06-13T18:42:33.139442
Applied AI Engineer - Europe,Percepta,,LinkedIn,https://uk.linkedin.com/jobs/view/applied-ai-engineer-europe-at-percepta-4389230691?position=16&pageNum=0&refId=2dQXvtV%2Fak5ONYvibAO%2ByA%3D%3D&trackingId=o9UwQ2qpT%2BrUb4BUwF3IcA%3D%3D,,,,,Not specified,Unknown,2026-06-13T18:42:33.139444
AI Engineer (New York),Edra,,LinkedIn,https://www.linkedin.com/jobs/view/ai-engineer-new-york-at-edra-4385028052?position=17&pageNum=0&refId=2dQXvtV%2Fak5ONYvibAO%2ByA%3D%3D&trackingId=caavaJdLzKcpd1h1tRnQag%3D%3D,,,,,Not specified,Unknown,2026-06-13T18:42:33.139446
